Process File: 25,                              ,           ,                  ,                 ,                ,                 ,                    , 
CPU Heavy       ,                              ,           ,                  ,                 ,                ,                 ,                    , 
Processes: 50   ,                              ,           ,                  ,                 ,                ,                 ,                    , 
Arrival Times: 0,                              ,           ,                  ,                 ,                ,                 ,                    , 
                ,                              ,           ,                  ,                 ,                ,                 ,                    , 
Configuration   , Scheduler                    , Throughput, Avg Response Time, Context Switches, CPU Utilization, Avg Waiting Time, Avg Turnaround Time
1 CPU 1 IO      , First Come First Serve       , 0.01313   , 175.56           , 404             , 0.76           , 919.08          , 2822.56
1 CPU 1 IO      , Round Robin                  , 0.01269   , 91.68            , 872             , 0.73           , 793.24          , 2926.12
1 CPU 1 IO      , Shortest Job First           , 0.01315   , 362.12           , 404             , 0.76           , 673.38          , 2593.58
1 CPU 1 IO      , Shortest Remaining Time First, 0.01315   , 330.22           , 440             , 0.76           , 656.04          , 2607.56
1 CPU 1 IO      , Priority                     , 0.01312   , 768.64           , 404             , 0.76           , 806.80          , 2442.24
1 CPU 2 IO      , First Come First Serve       , 0.01722   , 175.56           , 404             , 0.99           , 2339.30         , 2482.82
1 CPU 2 IO      , Round Robin                  , 0.01727   , 91.68            , 872             , 1.00           , 2263.36         , 2427.72
1 CPU 2 IO      , Shortest Job First           , 0.01706   , 589.94           , 404             , 0.98           , 1528.98         , 1681.82
1 CPU 2 IO      , Shortest Remaining Time First, 0.01704   , 541.98           , 443             , 0.98           , 1562.40         , 1705.58
1 CPU 2 IO      , Priority                     , 0.01707   , 1330.84          , 404             , 0.98           , 1397.28         , 1540.34
2 CPU 1 IO      , First Come First Serve       , 0.01315   , 85.66            , 404             , 0.21           , 197.16          , 2709.90
2 CPU 1 IO      , Round Robin                  , 0.01305   , 44.86            , 872             , 0.20           , 220.90          , 2743.60
2 CPU 1 IO      , Shortest Job First           , 0.01316   , 113.26           , 404             , 0.20           , 156.38          , 2685.46
2 CPU 1 IO      , Shortest Remaining Time First, 0.01316   , 106.72           , 425             , 0.20           , 152.12          , 2684.26
2 CPU 1 IO      , Priority                     , 0.01315   , 222.56           , 404             , 0.21           , 226.60          , 2631.40
2 CPU 2 IO      , First Come First Serve       , 0.02619   , 85.66            , 404             , 0.68           , 433.38          , 1420.26
2 CPU 2 IO      , Round Robin                  , 0.02530   , 44.86            , 872             , 0.64           , 366.28          , 1468.50
2 CPU 2 IO      , Shortest Job First           , 0.02600   , 175.66           , 404             , 0.68           , 323.28          , 1310.54
2 CPU 2 IO      , Shortest Remaining Time First, 0.02612   , 157.30           , 481             , 0.68           , 313.38          , 1319.48
2 CPU 2 IO      , Priority                     , 0.02615   , 373.46           , 404             , 0.69           , 393.60          , 1236.74
