Process File: 27,                              ,           ,                  ,                 ,                ,                 ,                    , 
DL Heavy        ,                              ,           ,                  ,                 ,                ,                 ,                    , 
Processes: 50   ,                              ,           ,                  ,                 ,                ,                 ,                    , 
Arrival Times: 0,                              ,           ,                  ,                 ,                ,                 ,                    , 
                ,                              ,           ,                  ,                 ,                ,                 ,                    , 
Configuration   , Scheduler                    , Throughput, Avg Response Time, Context Switches, CPU Utilization, Avg Waiting Time, Avg Turnaround Time
1 CPU 1 IO      , First Come First Serve       , 0.01617   , 200.64           , 385             , 0.99           , 2339.14         , 2504.54
1 CPU 1 IO      , Round Robin                  , 0.01604   , 96.84            , 904             , 0.99           , 2173.90         , 2347.24
1 CPU 1 IO      , Shortest Job First           , 0.01610   , 655.22           , 385             , 0.99           , 1441.24         , 1584.06
1 CPU 1 IO      , Shortest Remaining Time First, 0.01597   , 601.08           , 416             , 0.98           , 1435.62         , 1603.66
1 CPU 1 IO      , Priority                     , 0.01623   , 1566.02          , 385             , 1.00           , 1612.98         , 1754.72
1 CPU 2 IO      , First Come First Serve       , 0.01624   , 200.64           , 385             , 1.00           , 2379.84         , 2491.12
1 CPU 2 IO      , Round Robin                  , 0.01621   , 96.84            , 904             , 1.00           , 2223.80         , 2336.20
1 CPU 2 IO      , Shortest Job First           , 0.01614   , 667.36           , 385             , 0.99           , 1461.12         , 1569.58
1 CPU 2 IO      , Shortest Remaining Time First, 0.01597   , 621.48           , 407             , 0.98           , 1468.38         , 1576.94
1 CPU 2 IO      , Priority                     , 0.01625   , 1575.02          , 385             , 1.00           , 1628.32         , 1737.50
2 CPU 1 IO      , First Come First Serve       , 0.02082   , 97.98            , 385             , 0.52           , 509.60          , 1586.54
2 CPU 1 IO      , Round Robin                  , 0.02062   , 47.44            , 904             , 0.52           , 501.96          , 1534.46
2 CPU 1 IO      , Shortest Job First           , 0.02085   , 210.26           , 385             , 0.53           , 359.06          , 1363.82
2 CPU 1 IO      , Shortest Remaining Time First, 0.02082   , 194.48           , 447             , 0.51           , 358.08          , 1387.84
2 CPU 1 IO      , Priority                     , 0.02079   , 526.98           , 385             , 0.52           , 539.64          , 1398.76
2 CPU 2 IO      , First Come First Serve       , 0.03215   , 97.98            , 385             , 0.99           , 1118.72         , 1251.84
2 CPU 2 IO      , Round Robin                  , 0.03195   , 47.44            , 904             , 0.98           , 1040.90         , 1174.92
2 CPU 2 IO      , Shortest Job First           , 0.03209   , 320.40           , 385             , 0.98           , 690.12          , 813.50
2 CPU 2 IO      , Shortest Remaining Time First, 0.03104   , 290.16           , 445             , 0.94           , 689.66          , 824.04
2 CPU 2 IO      , Priority                     , 0.03121   , 747.56           , 385             , 0.95           , 779.44          , 900.82
