io's, cpu's, scheduler                    , throughput, average_response_time, context_switches, cpu_utilization, average_waiting_time, average_turnaround_time, file_num, num_processes, device_load, arrival_times
   1,     1, First Come First Serve       ,    0.01741,                 77.96,              197,            0.93,               784.12,                 1098.36,       41,            25, balanced   , batch
   2,     1, First Come First Serve       ,    0.01856,                 78.28,              197,            1.0 ,               980.28,                 1087.92,       41,            25, balanced   , batch
   1,     2, First Come First Serve       ,    0.01833,                 33.4 ,              197,            0.35,               126.36,                  938.6 ,       41,            25, balanced   , batch
   2,     2, First Come First Serve       ,    0.03333,                 33.44,              197,            0.88,               343.08,                  533.16,       41,            25, balanced   , batch
   1,     1, Round Robin                  ,    0.01679,                 21.56,              714,            0.9 ,               635.72,                  954.32,       41,            25, balanced   , batch
   1,     1, Round Robin                  ,    0.01685,                 45.72,              347,            0.9 ,               634.36,                  987.12,       41,            25, balanced   , batch
   1,     1, Round Robin                  ,    0.01709,                 66.6 ,              241,            0.92,               666.44,                 1044.64,       41,            25, balanced   , batch
   2,     1, Round Robin                  ,    0.01834,                 21.56,              714,            0.98,               793.44,                  902.48,       41,            25, balanced   , batch
   2,     1, Round Robin                  ,    0.01826,                 45.72,              347,            0.98,               816.4 ,                  925.64,       41,            25, balanced   , batch
   2,     1, Round Robin                  ,    0.01826,                 66.92,              241,            0.98,               885.12,                  993.76,       41,            25, balanced   , batch
   1,     2, Round Robin                  ,    0.01834,                  9.32,              714,            0.33,               139.96,                  859.28,       41,            25, balanced   , batch
   1,     2, Round Robin                  ,    0.01834,                 19.68,              347,            0.33,               136.68,                  879.24,       41,            25, balanced   , batch
   1,     2, Round Robin                  ,    0.01845,                 28.6 ,              241,            0.35,               144.76,                  903.52,       41,            25, balanced   , batch
   2,     2, Round Robin                  ,    0.03238,                  9.32,              714,            0.83,               276.8 ,                  484.8 ,       41,            25, balanced   , batch
   2,     2, Round Robin                  ,    0.0323 ,                 19.68,              347,            0.81,               280.2 ,                  494.92,       41,            25, balanced   , batch
   2,     2, Round Robin                  ,    0.03289,                 28.68,              241,            0.86,               299.08,                  521.04,       41,            25, balanced   , batch
   1,     1, Shortest Job First           ,    0.0179 ,                257.0 ,              197,            0.96,               375.72,                  657.56,       41,            25, balanced   , batch
   2,     1, Shortest Job First           ,    0.01809,                299.44,              197,            0.97,               473.04,                  577.56,       41,            25, balanced   , batch
   1,     2, Shortest Job First           ,    0.01841,                 60.28,              197,            0.34,                84.36,                  778.64,       41,            25, balanced   , batch
   2,     2, Shortest Job First           ,    0.03365,                100.48,              197,            0.9 ,               157.12,                  348.84,       41,            25, balanced   , batch
   1,     1, Shortest Remaining Time First,    0.01772,                260.32,              215,            0.95,               373.56,                  647.16,       41,            25, balanced   , batch
   2,     1, Shortest Remaining Time First,    0.0184 ,                289.28,              211,            0.99,               476.32,                  581.96,       41,            25, balanced   , batch
   1,     2, Shortest Remaining Time First,    0.01849,                 62.12,              221,            0.34,                83.84,                  765.04,       41,            25, balanced   , batch
   2,     2, Shortest Remaining Time First,    0.03401,                110.2 ,              234,            0.91,               165.04,                  342.92,       41,            25, balanced   , batch
   1,     1, Priority                     ,    0.01679,                514.24,              197,            0.9 ,               614.92,                  864.0 ,       41,            25, balanced   , batch
   2,     1, Priority                     ,    0.01842,                554.32,              197,            0.99,               669.36,                  779.72,       41,            25, balanced   , batch
   1,     2, Priority                     ,    0.01842,                119.56,              197,            0.34,               145.72,                  890.76,       41,            25, balanced   , batch
   2,     2, Priority                     ,    0.03193,                214.16,              197,            0.84,               273.52,                  443.24,       41,            25, balanced   , batch
   1,     1, First Come First Serve       ,    0.01525,                117.0 ,              387,            0.77,               700.66,                 2107.8 ,        9,            50, cpu        , hybrid
   2,     1, First Come First Serve       ,    0.01969,                141.08,              387,            1.0 ,              1759.38,                 1881.06,        9,            50, cpu        , hybrid
   1,     2, First Come First Serve       ,    0.01525,                 12.46,              387,            0.2 ,                39.84,                 1968.72,        9,            50, cpu        , hybrid
   2,     2, First Come First Serve       ,    0.03016,                 40.14,              387,            0.71,               230.06,                  944.94,        9,            50, cpu        , hybrid
   1,     1, Round Robin                  ,    0.01507,                 37.96,             1359,            0.76,               746.44,                 2070.08,        9,            50, cpu        , hybrid
   1,     1, Round Robin                  ,    0.01521,                 79.46,              676,            0.77,               781.52,                 2053.16,        9,            50, cpu        , hybrid
   1,     1, Round Robin                  ,    0.01525,                109.66,              434,            0.77,               704.54,                 2097.66,        9,            50, cpu        , hybrid
   2,     1, Round Robin                  ,    0.01958,                 41.72,             1359,            0.99,              1666.88,                 1796.78,        9,            50, cpu        , hybrid
   2,     1, Round Robin                  ,    0.01959,                 85.38,              676,            0.99,              1670.6 ,                 1804.6 ,        9,            50, cpu        , hybrid
   2,     1, Round Robin                  ,    0.01969,                132.06,              434,            1.0 ,              1741.92,                 1871.1 ,        9,            50, cpu        , hybrid
   1,     2, Round Robin                  ,    0.01525,                  3.96,             1359,            0.18,                46.38,                 1972.94,        9,            50, cpu        , hybrid
   1,     2, Round Robin                  ,    0.01525,                  8.3 ,              676,            0.2 ,                45.36,                 1963.52,        9,            50, cpu        , hybrid
   1,     2, Round Robin                  ,    0.01525,                 12.24,              434,            0.19,                42.3 ,                 1967.02,        9,            50, cpu        , hybrid
   2,     2, Round Robin                  ,    0.03014,                 12.42,             1359,            0.66,               246.7 ,                  938.08,        9,            50, cpu        , hybrid
   2,     2, Round Robin                  ,    0.03023,                 26.8 ,              676,            0.69,               247.04,                  934.68,        9,            50, cpu        , hybrid
   2,     2, Round Robin                  ,    0.03025,                 39.38,              434,            0.69,               232.46,                  943.3 ,        9,            50, cpu        , hybrid
   1,     1, Shortest Job First           ,    0.01515,                243.64,              387,            0.77,               440.4 ,                 1838.82,        9,            50, cpu        , hybrid
