Process File: 22,,,,,,,,
Processes: 50,,,,,,,,
Device Load: dl.,,,,,,,,
Arrival Times: batch,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01664,184.46,381,0.99,2251.98,2479.28
1,1,Round Robin,0.01663,49.00,1586,0.99,2157.80,2350.18
1,1,Shortest Job First,0.01663,585.14,381,0.99,1282.58,1580.94
1,1,Shortest Remaining Time First,0.01663,558.16,419,0.99,1313.52,1590.58
1,1,Priority,0.01661,1399.68,381,0.99,1466.30,1688.90
2,1,First Come First Serve,0.01665,184.46,381,0.99,2367.24,2478.56
2,1,Round Robin,0.01665,114.08,754,0.99,2241.92,2353.04
2,1,Shortest Job First,0.01663,643.98,381,0.99,1388.28,1497.86
2,1,Shortest Remaining Time First,0.01670,609.48,409,1.00,1408.52,1518.86
2,1,Priority,0.01661,1454.98,381,0.99,1521.36,1634.22
1,2,First Come First Serve,0.02022,89.84,381,0.46,502.22,1626.62
1,2,Round Robin,0.02019,83.52,472,0.47,491.74,1608.10
1,2,Shortest Job First,0.02019,169.08,381,0.46,286.84,1539.48
1,2,Shortest Remaining Time First,0.02019,163.12,427,0.50,288.80,1534.74
1,2,Priority,0.02001,416.52,381,0.46,425.30,1505.30
2,2,First Come First Serve,0.03283,89.84,381,0.98,1070.54,1238.20
2,2,Round Robin,0.03283,89.84,381,0.98,1070.54,1238.20
2,2,Shortest Job First,0.03294,284.18,381,0.97,619.18,803.02
2,2,Shortest Remaining Time First,0.03266,272.80,444,0.96,626.98,811.86
2,2,Priority,0.03307,671.52,381,0.98,712.84,861.16
