Process File: 23,,,,,,,,
Processes: 50,,,,,,,,
Device Load: default.,,,,,,,,
Arrival Times: batch,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01849,142.16,373,0.84,951.24,1973.86
1,1,Round Robin,0.01783,48.30,1228,0.81,874.10,1904.34
1,1,Shortest Job First,0.01846,418.78,373,0.84,691.44,1380.38
1,1,Shortest Remaining Time First,0.01842,397.22,401,0.84,676.16,1410.56
1,1,Priority,0.01860,690.12,373,0.85,727.50,1897.70
2,1,First Come First Serve,0.02187,142.16,373,1.00,1743.56,1849.24
2,1,Round Robin,0.02192,108.84,607,1.00,1594.16,1701.84
2,1,Shortest Job First,0.02170,505.72,373,0.99,987.24,1090.00
2,1,Shortest Remaining Time First,0.02170,484.44,402,0.99,994.92,1098.68
2,1,Priority,0.02175,1187.66,373,0.99,1242.72,1352.44
1,2,First Come First Serve,0.01853,69.22,373,0.25,185.30,1872.12
1,2,Round Robin,0.01853,67.30,411,0.24,190.46,1864.74
1,2,Shortest Job First,0.01855,113.40,373,0.25,155.72,1663.76
1,2,Shortest Remaining Time First,0.01855,113.06,404,0.26,154.34,1662.00
1,2,Priority,0.01859,207.92,373,0.24,211.60,1946.86
2,2,First Come First Serve,0.03674,69.22,373,0.80,450.94,984.88
2,2,Round Robin,0.03674,69.22,373,0.80,450.94,984.88
2,2,Shortest Job First,0.03642,202.06,373,0.79,330.06,700.60
2,2,Shortest Remaining Time First,0.03613,190.68,441,0.79,318.68,718.30
2,2,Priority,0.03687,325.06,373,0.80,342.36,971.52
