Process File: 24,,,,,,,,
Processes: 50,,,,,,,,
Device Load: cpu.,,,,,,,,
Arrival Times: zero,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01516,176.96,382,0.80,1150.82,2447.72
1,1,Round Robin,0.01478,47.30,1423,0.78,1129.84,2423.34
1,1,Shortest Job First,0.01529,408.40,382,0.81,669.06,2148.94
1,1,Shortest Remaining Time First,0.01529,390.88,413,0.81,670.74,2164.52
1,1,Priority,0.01514,909.18,382,0.80,941.80,2112.86
2,1,First Come First Serve,0.01880,176.96,382,1.00,2069.28,2195.38
2,1,Round Robin,0.01881,107.76,686,1.00,1956.48,2093.94
2,1,Shortest Job First,0.01873,617.54,382,0.99,1283.80,1410.98
2,1,Shortest Remaining Time First,0.01883,571.10,420,1.00,1295.86,1422.82
2,1,Priority,0.01842,1312.14,382,0.98,1369.02,1492.64
1,2,First Come First Serve,0.01520,86.42,382,0.23,282.00,2356.26
1,2,Round Robin,0.01517,82.34,444,0.23,278.02,2380.32
1,2,Shortest Job First,0.01529,130.96,382,0.23,185.52,2235.90
1,2,Shortest Remaining Time First,0.01529,126.06,417,0.24,186.94,2244.80
1,2,Priority,0.01525,264.96,382,0.24,270.10,2243.32
2,2,First Come First Serve,0.03010,86.42,382,0.76,532.38,1231.62
2,2,Round Robin,0.03010,86.42,382,0.76,532.38,1231.62
2,2,Shortest Job First,0.03030,195.14,382,0.75,317.76,1084.00
2,2,Shortest Remaining Time First,0.03016,184.48,433,0.73,313.30,1101.04
2,2,Priority,0.03001,435.24,382,0.73,453.98,1065.86
