Process File: 25,,,,,,,,
Processes: 50,,,,,,,,
Device Load: cpu.,,,,,,,,
Arrival Times: batch,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01480,172.50,384,0.79,1050.64,2467.94
1,1,Round Robin,0.01446,47.90,1438,0.77,1081.16,2515.10
1,1,Shortest Job First,0.01502,445.04,384,0.80,770.26,2186.86
1,1,Shortest Remaining Time First,0.01496,423.66,418,0.80,772.88,2189.66
1,1,Priority,0.01508,889.08,384,0.80,929.96,2046.22
2,1,First Come First Serve,0.01862,172.50,384,0.99,2081.28,2209.04
2,1,Round Robin,0.01871,110.20,691,0.99,2031.34,2170.84
2,1,Shortest Job First,0.01880,629.76,384,1.00,1363.00,1491.72
2,1,Shortest Remaining Time First,0.01867,590.14,417,0.99,1389.68,1522.32
2,1,Priority,0.01861,1258.80,384,0.99,1310.84,1438.98
1,2,First Come First Serve,0.01507,84.08,384,0.24,274.02,2299.56
1,2,Round Robin,0.01507,80.72,437,0.23,295.10,2301.16
1,2,Shortest Job First,0.01512,149.94,384,0.23,203.98,2307.28
1,2,Shortest Remaining Time First,0.01512,148.46,403,0.24,206.66,2296.16
1,2,Priority,0.01508,231.48,384,0.23,236.08,2292.88
2,2,First Come First Serve,0.02941,84.08,384,0.72,496.78,1240.26
2,2,Round Robin,0.02941,84.08,384,0.72,496.78,1240.26
2,2,Shortest Job First,0.02922,218.04,384,0.72,370.26,1106.98
2,2,Shortest Remaining Time First,0.02943,205.50,441,0.71,371.34,1104.80
2,2,Priority,0.02983,426.90,384,0.73,444.86,1044.20
