time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
11,1 added to ready queue,enqueue,1,,['1'],[],[None],[None]
11,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],[None]
14,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,['1'],[],[None],[None]
14,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],[None]
16,2 added to ready queue,enqueue,2,,['2'],[],['1'],[None]
17,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['2', '1']",[],[None],[None]
17,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['1'],[],['2'],[None]
20,2 preempted (RR quantum expired),preempt_cpu,2,CPU0,"['1', '2']",[],[None],[None]
20,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['2'],[],['1'],[None]
23,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['2', '1']",[],[None],[None]
23,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['1'],[],['2'],[None]
26,2 finished CPU → wait queue,cpu_to_io,2,CPU0,['1'],['2'],[None],[None]
26,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],['2'],['1'],[None]
26,2 dispatched to IO0,dispatch_io,2,IO0,[],[],['1'],['2']
29,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,['1'],[],[None],['2']
29,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],['2']
32,1 finished CPU → wait queue,cpu_to_io,1,CPU0,[],['1'],[None],['2']
36,3 added to ready queue,enqueue,3,,['3'],['1'],[None],['2']
36,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],['1'],['3'],['2']
39,3 finished CPU → ready queue,cpu_to_ready,3,CPU0,['3'],['1'],[None],['2']
39,2 finished I/O → ready queue,io_to_ready,2,IO0,"['3', '2']",['1'],[None],[None]
39,3 dispatched to CPU0,dispatch_cpu,3,CPU0,['2'],['1'],['3'],[None]
39,1 dispatched to IO0,dispatch_io,1,IO0,['2'],[],['3'],['1']
42,3 preempted (RR quantum expired),preempt_cpu,3,CPU0,"['2', '3']",[],[None],['1']
42,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['3'],[],['2'],['1']
45,2 preempted (RR quantum expired),preempt_cpu,2,CPU0,"['3', '2']",[],[None],['1']
45,3 dispatched to CPU0,dispatch_cpu,3,CPU0,['2'],[],['3'],['1']
46,3 finished CPU → wait queue,cpu_to_io,3,CPU0,['2'],['3'],[None],['1']
46,2 dispatched to CPU0,dispatch_cpu,2,CPU0,[],['3'],['2'],['1']
48,2 finished CPU → wait queue,cpu_to_io,2,CPU0,[],"['3', '2']",[None],['1']
54,4 added to ready queue,enqueue,4,,['4'],"['3', '2']",[None],['1']
54,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],"['3', '2']",['4'],['1']
57,4 preempted (RR quantum expired),preempt_cpu,4,CPU0,['4'],"['3', '2']",[None],['1']
57,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],"['3', '2']",['4'],['1']
59,4 finished CPU → ready queue,cpu_to_ready,4,CPU0,['4'],"['3', '2']",[None],['1']
59,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],"['3', '2']",['4'],['1']
62,4 preempted (RR quantum expired),preempt_cpu,4,CPU0,['4'],"['3', '2']",[None],['1']
62,1 finished I/O → ready queue,io_to_ready,1,IO0,"['4', '1']","['3', '2']",[None],[None]
62,4 dispatched to CPU0,dispatch_cpu,4,CPU0,['1'],"['3', '2']",['4'],[None]
62,3 dispatched to IO0,dispatch_io,3,IO0,['1'],['2'],['4'],['3']
63,4 finished CPU → wait queue,cpu_to_io,4,CPU0,['1'],"['2', '4']",[None],['3']
63,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],"['2', '4']",['1'],['3']
66,5 added to ready queue,enqueue,5,,['5'],"['2', '4']",['1'],['3']
66,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['5', '1']","['2', '4']",[None],['3']
66,5 dispatched to CPU0,dispatch_cpu,5,CPU0,['1'],"['2', '4']",['5'],['3']
68,3 finished I/O → ready queue,io_to_ready,3,IO0,"['1', '3']","['2', '4']",['5'],[None]
68,2 dispatched to IO0,dispatch_io,2,IO0,"['1', '3']",['4'],['5'],['2']
69,5 preempted (RR quantum expired),preempt_cpu,5,CPU0,"['1', '3', '5']",['4'],[None],['2']
69,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['3', '5']",['4'],['1'],['2']
72,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['3', '5', '1']",['4'],[None],['2']
72,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['5', '1']",['4'],['3'],['2']
75,3 finished CPU → ready queue,cpu_to_ready,3,CPU0,"['5', '1', '3']",['4'],[None],['2']
75,5 dispatched to CPU0,dispatch_cpu,5,CPU0,"['1', '3']",['4'],['5'],['2']
76,5 finished CPU → ready queue,cpu_to_ready,5,CPU0,"['1', '3', '5']",['4'],[None],['2']
76,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['3', '5']",['4'],['1'],['2']
79,1 finished CPU → wait queue,cpu_to_io,1,CPU0,"['3', '5']","['4', '1']",[None],['2']
79,3 dispatched to CPU0,dispatch_cpu,3,CPU0,['5'],"['4', '1']",['3'],['2']
82,3 finished all bursts,finished,3,CPU0,['5'],"['4', '1']",[None],['2']
82,5 dispatched to CPU0,dispatch_cpu,5,CPU0,[],"['4', '1']",['5'],['2']
83,6 added to ready queue,enqueue,6,,['6'],"['4', '1']",['5'],['2']
84,2 finished I/O → ready queue,io_to_ready,2,IO0,"['6', '2']","['4', '1']",['5'],[None]
84,4 dispatched to IO0,dispatch_io,4,IO0,"['6', '2']",['1'],['5'],['4']
85,5 preempted (RR quantum expired),preempt_cpu,5,CPU0,"['6', '2', '5']",['1'],[None],['4']
85,6 dispatched to CPU0,dispatch_cpu,6,CPU0,"['2', '5']",['1'],['6'],['4']
88,6 preempted (RR quantum expired),preempt_cpu,6,CPU0,"['2', '5', '6']",['1'],[None],['4']
88,2 dispatched to CPU0,dispatch_cpu,2,CPU0,"['5', '6']",['1'],['2'],['4']
89,2 finished CPU → ready queue,cpu_to_ready,2,CPU0,"['5', '6', '2']",['1'],[None],['4']
89,5 dispatched to CPU0,dispatch_cpu,5,CPU0,"['6', '2']",['1'],['5'],['4']
92,5 finished CPU → wait queue,cpu_to_io,5,CPU0,"['6', '2']","['1', '5']",[None],['4']
92,6 dispatched to CPU0,dispatch_cpu,6,CPU0,['2'],"['1', '5']",['6'],['4']
95,6 preempted (RR quantum expired),preempt_cpu,6,CPU0,"['2', '6']","['1', '5']",[None],['4']
95,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['6'],"['1', '5']",['2'],['4']
96,7 added to ready queue,enqueue,7,,"['6', '7']","['1', '5']",['2'],['4']
97,8 added to ready queue,enqueue,8,,"['6', '7', '8']","['1', '5']",['2'],['4']
98,2 preempted (RR quantum expired),preempt_cpu,2,CPU0,"['6', '7', '8', '2']","['1', '5']",[None],['4']
98,6 dispatched to CPU0,dispatch_cpu,6,CPU0,"['7', '8', '2']","['1', '5']",['6'],['4']
101,6 finished CPU → ready queue,cpu_to_ready,6,CPU0,"['7', '8', '2', '6']","['1', '5']",[None],['4']
101,7 dispatched to CPU0,dispatch_cpu,7,CPU0,"['8', '2', '6']","['1', '5']",['7'],['4']
102,4 finished I/O → ready queue,io_to_ready,4,IO0,"['8', '2', '6', '4']","['1', '5']",['7'],[None]
102,1 dispatched to IO0,dispatch_io,1,IO0,"['8', '2', '6', '4']",['5'],['7'],['1']
104,7 finished CPU → wait queue,cpu_to_io,7,CPU0,"['8', '2', '6', '4']","['5', '7']",[None],['1']
104,8 dispatched to CPU0,dispatch_cpu,8,CPU0,"['2', '6', '4']","['5', '7']",['8'],['1']
106,9 added to ready queue,enqueue,9,,"['2', '6', '4', '9']","['5', '7']",['8'],['1']
107,10 added to ready queue,enqueue,10,,"['2', '6', '4', '9', '10']","['5', '7']",['8'],['1']
107,8 preempted (RR quantum expired),preempt_cpu,8,CPU0,"['2', '6', '4', '9', '10', '8']","['5', '7']",[None],['1']
107,2 dispatched to CPU0,dispatch_cpu,2,CPU0,"['6', '4', '9', '10', '8']","['5', '7']",['2'],['1']
110,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['6', '4', '9', '10', '8']","['5', '7', '2']",[None],['1']
110,6 dispatched to CPU0,dispatch_cpu,6,CPU0,"['4', '9', '10', '8']","['5', '7', '2']",['6'],['1']
113,6 preempted (RR quantum expired),preempt_cpu,6,CPU0,"['4', '9', '10', '8', '6']","['5', '7', '2']",[None],['1']
113,4 dispatched to CPU0,dispatch_cpu,4,CPU0,"['9', '10', '8', '6']","['5', '7', '2']",['4'],['1']
115,1 finished I/O → ready queue,io_to_ready,1,IO0,"['9', '10', '8', '6', '1']","['5', '7', '2']",['4'],[None]
115,5 dispatched to IO0,dispatch_io,5,IO0,"['9', '10', '8', '6', '1']","['7', '2']",['4'],['5']
116,4 preempted (RR quantum expired),preempt_cpu,4,CPU0,"['9', '10', '8', '6', '1', '4']","['7', '2']",[None],['5']
116,9 dispatched to CPU0,dispatch_cpu,9,CPU0,"['10', '8', '6', '1', '4']","['7', '2']",['9'],['5']
119,9 preempted (RR quantum expired),preempt_cpu,9,CPU0,"['10', '8', '6', '1', '4', '9']","['7', '2']",[None],['5']
119,10 dispatched to CPU0,dispatch_cpu,10,CPU0,"['8', '6', '1', '4', '9']","['7', '2']",['10'],['5']
122,10 preempted (RR quantum expired),preempt_cpu,10,CPU0,"['8', '6', '1', '4', '9', '10']","['7', '2']",[None],['5']
122,8 dispatched to CPU0,dispatch_cpu,8,CPU0,"['6', '1', '4', '9', '10']","['7', '2']",['8'],['5']
125,8 preempted (RR quantum expired),preempt_cpu,8,CPU0,"['6', '1', '4', '9', '10', '8']","['7', '2']",[None],['5']
125,6 dispatched to CPU0,dispatch_cpu,6,CPU0,"['1', '4', '9', '10', '8']","['7', '2']",['6'],['5']
128,6 preempted (RR quantum expired),preempt_cpu,6,CPU0,"['1', '4', '9', '10', '8', '6']","['7', '2']",[None],['5']
128,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['4', '9', '10', '8', '6']","['7', '2']",['1'],['5']
131,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['4', '9', '10', '8', '6', '1']","['7', '2']",[None],['5']
131,4 dispatched to CPU0,dispatch_cpu,4,CPU0,"['9', '10', '8', '6', '1']","['7', '2']",['4'],['5']
134,4 finished CPU → ready queue,cpu_to_ready,4,CPU0,"['9', '10', '8', '6', '1', '4']","['7', '2']",[None],['5']
134,5 finished I/O → ready queue,io_to_ready,5,IO0,"['9', '10', '8', '6', '1', '4', '5']","['7', '2']",[None],[None]
134,9 dispatched to CPU0,dispatch_cpu,9,CPU0,"['10', '8', '6', '1', '4', '5']","['7', '2']",['9'],[None]
134,7 dispatched to IO0,dispatch_io,7,IO0,"['10', '8', '6', '1', '4', '5']",['2'],['9'],['7']
136,9 finished CPU → wait queue,cpu_to_io,9,CPU0,"['10', '8', '6', '1', '4', '5']","['2', '9']",[None],['7']
136,7 finished I/O → ready queue,io_to_ready,7,IO0,"['10', '8', '6', '1', '4', '5', '7']","['2', '9']",[None],[None]
136,10 dispatched to CPU0,dispatch_cpu,10,CPU0,"['8', '6', '1', '4', '5', '7']","['2', '9']",['10'],[None]
136,2 dispatched to IO0,dispatch_io,2,IO0,"['8', '6', '1', '4', '5', '7']",['9'],['10'],['2']
138,10 finished CPU → wait queue,cpu_to_io,10,CPU0,"['8', '6', '1', '4', '5', '7']","['9', '10']",[None],['2']
