time, event                        , event_type  , process, device, ready_queue                , wait_queue                                 , cpus  , ios
   4, 1 added to ready queue       , enqueue     ,       1,       , ['1']                      , []                                         , [None], [None]
   4, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , []                         , []                                         , ['1'] , [None]
  11, 2 added to ready queue       , enqueue     ,       2,       , ['2']                      , []                                         , ['1'] , [None]
  13, 3 added to ready queue       , enqueue     ,       3,       , "['2', '3']"               , []                                         , ['1'] , [None]
  16, 1 finished CPU → ready queue , cpu_to_ready,       1, CPU0  , "['2', '3', '1']"          , []                                         , [None], [None]
  16, 2 dispatched to CPU0         , dispatch_cpu,       2, CPU0  , "['3', '1']"               , []                                         , ['2'] , [None]
  19, 2 finished CPU → ready queue , cpu_to_ready,       2, CPU0  , "['3', '1', '2']"          , []                                         , [None], [None]
  19, 3 dispatched to CPU0         , dispatch_cpu,       3, CPU0  , "['1', '2']"               , []                                         , ['3'] , [None]
  21, 4 added to ready queue       , enqueue     ,       4,       , "['1', '2', '4']"          , []                                         , ['3'] , [None]
  24, 3 finished CPU → ready queue , cpu_to_ready,       3, CPU0  , "['1', '2', '4', '3']"     , []                                         , [None], [None]
  24, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , "['2', '4', '3']"          , []                                         , ['1'] , [None]
  31, 1 finished CPU → wait queue  , cpu_to_io   ,       1, CPU0  , "['2', '4', '3']"          , ['1']                                      , [None], [None]
  31, 2 dispatched to CPU0         , dispatch_cpu,       2, CPU0  , "['4', '3']"               , ['1']                                      , ['2'] , [None]
  31, 1 dispatched to IO0          , dispatch_io ,       1, IO0   , "['4', '3']"               , []                                         , ['2'] , ['1']
  34, 5 added to ready queue       , enqueue     ,       5,       , "['4', '3', '5']"          , []                                         , ['2'] , ['1']
  35, 2 finished CPU → wait queue  , cpu_to_io   ,       2, CPU0  , "['4', '3', '5']"          , ['2']                                      , [None], ['1']
  35, 4 dispatched to CPU0         , dispatch_cpu,       4, CPU0  , "['3', '5']"               , ['2']                                      , ['4'] , ['1']
  42, 4 finished CPU → wait queue  , cpu_to_io   ,       4, CPU0  , "['3', '5']"               , "['2', '4']"                               , [None], ['1']
  42, 3 dispatched to CPU0         , dispatch_cpu,       3, CPU0  , ['5']                      , "['2', '4']"                               , ['3'] , ['1']
  45, 3 finished CPU → wait queue  , cpu_to_io   ,       3, CPU0  , ['5']                      , "['2', '4', '3']"                          , [None], ['1']
  45, 5 dispatched to CPU0         , dispatch_cpu,       5, CPU0  , []                         , "['2', '4', '3']"                          , ['5'] , ['1']
  47, 1 finished I/O → ready queue , io_to_ready ,       1, IO0   , ['1']                      , "['2', '4', '3']"                          , ['5'] , [None]
  47, 2 dispatched to IO0          , dispatch_io ,       2, IO0   , ['1']                      , "['4', '3']"                               , ['5'] , ['2']
  50, 6 added to ready queue       , enqueue     ,       6,       , "['1', '6']"               , "['4', '3']"                               , ['5'] , ['2']
  52, 7 added to ready queue       , enqueue     ,       7,       , "['1', '6', '7']"          , "['4', '3']"                               , ['5'] , ['2']
  58, 5 finished CPU → ready queue , cpu_to_ready,       5, CPU0  , "['1', '6', '7', '5']"     , "['4', '3']"                               , [None], ['2']
  58, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , "['6', '7', '5']"          , "['4', '3']"                               , ['1'] , ['2']
