time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
27,1 added to ready queue,enqueue,1,,['1'],[],[None],"[None, None]"
27,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],"[None, None]"
33,2 added to ready queue,enqueue,2,,['2'],[],['1'],"[None, None]"
34,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['2', '1']",[],[None],"[None, None]"
34,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['1'],[],['2'],"[None, None]"
38,3 added to ready queue,enqueue,3,,"['1', '3']",[],['2'],"[None, None]"
38,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['1', '3']",['2'],[None],"[None, None]"
38,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['3'],['2'],['1'],"[None, None]"
38,2 dispatched to IO0,dispatch_io,2,IO0,['3'],[],['1'],"['2', None]"
39,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['3', '1']",[],[None],"['2', None]"
39,3 dispatched to CPU0,dispatch_cpu,3,CPU0,['1'],[],['3'],"['2', None]"
43,4 added to ready queue,enqueue,4,,"['1', '4']",[],['3'],"['2', None]"
44,5 added to ready queue,enqueue,5,,"['1', '4', '5']",[],['3'],"['2', None]"
44,6 added to ready queue,enqueue,6,,"['1', '4', '5', '6']",[],['3'],"['2', None]"
44,7 added to ready queue,enqueue,7,,"['1', '4', '5', '6', '7']",[],['3'],"['2', None]"
44,8 added to ready queue,enqueue,8,,"['1', '4', '5', '6', '7', '8']",[],['3'],"['2', None]"
44,9 added to ready queue,enqueue,9,,"['1', '4', '5', '6', '7', '8', '9']",[],['3'],"['2', None]"
47,10 added to ready queue,enqueue,10,,"['1', '4', '5', '6', '7', '8', '9', '10']",[],['3'],"['2', None]"
47,3 finished CPU → wait queue,cpu_to_io,3,CPU0,"['1', '4', '5', '6', '7', '8', '9', '10']",['3'],[None],"['2', None]"
47,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['4', '5', '6', '7', '8', '9', '10']",['3'],['1'],"['2', None]"
47,3 dispatched to IO1,dispatch_io,3,IO1,"['4', '5', '6', '7', '8', '9', '10']",[],['1'],"['2', '3']"
48,11 added to ready queue,enqueue,11,,"['4', '5', '6', '7', '8', '9', '10', '11']",[],['1'],"['2', '3']"
49,12 added to ready queue,enqueue,12,,"['4', '5', '6', '7', '8', '9', '10', '11', '12']",[],['1'],"['2', '3']"
51,13 added to ready queue,enqueue,13,,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",[],['1'],"['2', '3']"
54,14 added to ready queue,enqueue,14,,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",[],['1'],"['2', '3']"
54,2 finished I/O → ready queue,io_to_ready,2,IO0,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '2']",[],['1'],"[None, '3']"
55,15 added to ready queue,enqueue,15,,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '2', '15']",[],['1'],"[None, '3']"
55,16 added to ready queue,enqueue,16,,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '2', '15', '16']",[],['1'],"[None, '3']"
56,17 added to ready queue,enqueue,17,,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '2', '15', '16', '17']",[],['1'],"[None, '3']"
57,1 finished CPU → wait queue,cpu_to_io,1,CPU0,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '2', '15', '16', '17']",['1'],[None],"[None, '3']"
