time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
31,1 added to ready queue,enqueue,1,,['1'],[],"[None, None]",[None]
31,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],"['1', None]",[None]
32,2 added to ready queue,enqueue,2,,['2'],[],"['1', None]",[None]
32,2 dispatched to CPU1,dispatch_cpu,2,CPU1,[],[],"['1', '2']",[None]
33,3 added to ready queue,enqueue,3,,['3'],[],"['1', '2']",[None]
34,1 finished CPU0 → wait queue,cpu_to_io,1,CPU0,['3'],['1'],"[None, '2']",[None]
34,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],['1'],"['3', '2']",[None]
34,1 dispatched to IO0,dispatch_io,1,IO0,[],[],"['3', '2']",['1']
36,4 added to ready queue,enqueue,4,,['4'],[],"['3', '2']",['1']
37,5 added to ready queue,enqueue,5,,"['5', '4']",[],"['3', '2']",['1']
37,3 preempted CPU0 → ready queue,cpu_to_ready,3,CPU0,"['5', '3', '4']",[],"['3', '2']",['1']
37,5 preempt ready queue → CPU0,ready_to_cpu,5,CPU0,"['3', '4']",[],"['5', '2']",['1']
38,6 added to ready queue,enqueue,6,,"['3', '4', '6']",[],"['5', '2']",['1']
38,5 finished CPU0 → wait queue,cpu_to_io,5,CPU0,"['3', '4', '6']",['5'],"[None, '2']",['1']
38,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['4', '6']",['5'],"['3', '2']",['1']
40,7 added to ready queue,enqueue,7,,"['4', '6', '7']",['5'],"['3', '2']",['1']
40,8 added to ready queue,enqueue,8,,"['4', '8', '6', '7']",['5'],"['3', '2']",['1']
41,9 added to ready queue,enqueue,9,,"['9', '4', '8', '6', '7']",['5'],"['3', '2']",['1']
41,10 added to ready queue,enqueue,10,,"['9', '4', '8', '6', '7', '10']",['5'],"['3', '2']",['1']
41,11 added to ready queue,enqueue,11,,"['11', '9', '4', '8', '6', '7', '10']",['5'],"['3', '2']",['1']
41,2 finished CPU1 → ready queue,cpu_to_ready,2,CPU1,"['11', '9', '4', '8', '2', '6', '7', '10']",['5'],"['3', None]",['1']
41,3 preempted CPU0 → ready queue,cpu_to_ready,3,CPU0,"['11', '9', '3', '4', '8', '2', '6', '7', '10']",['5'],"['3', None]",['1']
41,11 preempt ready queue → CPU0,ready_to_cpu,11,CPU0,"['9', '3', '4', '8', '2', '6', '7', '10']",['5'],"['11', None]",['1']
41,9 dispatched to CPU1,dispatch_cpu,9,CPU1,"['3', '4', '8', '2', '6', '7', '10']",['5'],"['11', '9']",['1']
42,11 finished CPU0 → ready queue,cpu_to_ready,11,CPU0,"['3', '4', '8', '2', '6', '7', '10', '11']",['5'],"[None, '9']",['1']
42,9 finished CPU1 → ready queue,cpu_to_ready,9,CPU1,"['3', '4', '8', '2', '6', '7', '10', '11', '9']",['5'],"[None, None]",['1']
42,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['4', '8', '2', '6', '7', '10', '11', '9']",['5'],"['3', None]",['1']
42,4 dispatched to CPU1,dispatch_cpu,4,CPU1,"['8', '2', '6', '7', '10', '11', '9']",['5'],"['3', '4']",['1']
43,12 added to ready queue,enqueue,12,,"['8', '12', '2', '6', '7', '10', '11', '9']",['5'],"['3', '4']",['1']
